,0
materias_aprobadas,0.2660707674541267
promedio_max,0.16956565457458037
materias_max_periodo,0.3223578497860396
materias_prom_periodo,0.2826148241246121
tasa_aprobacion,0.17852018784328025
prom_ultimo,0.2052525614260291
asistencia_promedio,0.07101318153023926
asistencia_std,0.035818790227043006
num_periodos_regulares,0.19104166687462998
promedio_std,7.73115048544897e-05
registros_especiales,0.1388739691432354
cambio_asistencia,0.10235543114391202
nivel_min,0.18965392475035006
cambio_promedio,0.1652596627129392
promedio_min,0.08891320396390263
asist_ultimo,0.04889630926144166
nivel_max,0.027367533846457792
asistencia_min,0.0874102683615512
materias_nota_cero,0.10970782567354756
materias_reprobadas,0.09004106143583328
materias_asist_cero,0.02310901410424048
max_vez_cursada,0.05197118057029468
materias_repetidas,0.08465660281223338
promedio_vez_cursada,0.015524420193077135
