ESTUDIANTE,promedio_general,promedio_mediana,promedio_min,promedio_max,promedio_std,asistencia_promedio,asistencia_mediana,asistencia_min,asistencia_max,asistencia_std,total_materias,materias_aprobadas,materias_reprobadas,tasa_aprobacion,tasa_reprobacion,max_vez_cursada,promedio_vez_cursada,materias_repetidas,nivel_max,nivel_min,num_periodos,num_materias_distintas,avance_niveles,num_periodos_regulares,materias_nota_cero,materias_asist_cero,materias_nota_menor5,materias_asist_menor50,pct_nota_cero,pct_asist_cero,materias_ingles,registros_especiales,materias_prom_periodo,materias_max_periodo,prom_primer,asist_primer,prom_ultimo,asist_ultimo,cambio_promedio,cambio_asistencia,DESERTOR
Estudiante 165,7.87,7.87,7.87,7.87,0.0,96.0,96.0,96,96,0.0,1,1,0,1.0,0.0,1,1.0,0,2,2,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,7.87,96.0,7.87,96.0,0.0,0.0,1
Estudiante 166,2.61,2.61,2.61,2.61,0.0,62.0,62.0,62,62,0.0,1,0,1,0.0,1.0,1,1.0,0,2,2,1,1,0,1,0,0,1,0,0.0,0.0,0,0,1.0,1,2.61,62.0,2.61,62.0,0.0,0.0,1
Estudiante 167,7.96,7.96,7.96,7.96,0.0,81.0,81.0,81,81,0.0,1,1,0,1.0,0.0,2,2.0,1,2,2,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,7.96,81.0,7.96,81.0,0.0,0.0,1
Estudiante 168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,1,0.0,1.0,1,1.0,0,2,2,1,1,0,1,1,1,1,1,1.0,1.0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
Estudiante 169,8.16,8.16,8.16,8.16,0.0,96.0,96.0,96,96,0.0,1,1,0,1.0,0.0,1,1.0,0,2,2,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,8.16,96.0,8.16,96.0,0.0,0.0,1
Estudiante 17,9.164285714285715,9.24,7.31,10.0,0.6910272652498459,97.78571428571429,100.0,86,100,4.67692488432585,14,14,0,1.0,0.0,1,1.0,0,2,1,2,14,1,2,0,0,0,0,0.0,0.0,0,0,7.0,7,9.381428571428572,98.42857142857143,8.947142857142858,97.14285714285714,-0.43428571428571416,-1.2857142857142918,0
Estudiante 170,5.2,5.2,5.2,5.2,0.0,84.0,84.0,84,84,0.0,1,0,1,0.0,1.0,1,1.0,0,2,2,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,5.2,84.0,5.2,84.0,0.0,0.0,1
Estudiante 171,6.65,6.65,6.65,6.65,0.0,90.0,90.0,90,90,0.0,1,0,1,0.0,1.0,1,1.0,0,2,2,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,6.65,90.0,6.65,90.0,0.0,0.0,1
Estudiante 172,8.15,8.15,8.05,8.25,0.141421356237309,98.0,98.0,96,100,2.8284271247461903,2,2,0,1.0,0.0,1,1.0,0,3,2,2,2,1,2,0,0,0,0,0.0,0.0,0,0,1.0,1,8.05,96.0,8.25,100.0,0.1999999999999993,4.0,0
Estudiante 173,8.2,8.2,8.2,8.2,0.0,81.0,81.0,81,81,0.0,1,1,0,1.0,0.0,1,1.0,0,2,2,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,8.2,81.0,8.2,81.0,0.0,0.0,1
Estudiante 174,5.73,5.73,5.73,5.73,0.0,96.0,96.0,96,96,0.0,1,0,1,0.0,1.0,1,1.0,0,2,2,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,5.73,96.0,5.73,96.0,0.0,0.0,1
Estudiante 175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,1,0.0,1.0,2,2.0,1,2,2,1,1,0,1,1,1,1,1,1.0,1.0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
Estudiante 176,6.94,6.94,6.94,6.94,0.0,100.0,100.0,100,100,0.0,1,0,1,0.0,1.0,1,1.0,0,2,2,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,6.94,100.0,6.94,100.0,0.0,0.0,1
Estudiante 177,8.26,8.26,8.26,8.26,0.0,94.0,94.0,94,94,0.0,1,1,0,1.0,0.0,1,1.0,0,2,2,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,8.26,94.0,8.26,94.0,0.0,0.0,1
Estudiante 178,9.040625,9.3,7.65,10.0,0.7791060582488111,80.625,100.0,0,100,40.03810684835136,16,16,0,1.0,0.0,1,1.0,0,3,1,5,16,2,3,0,3,0,3,0.0,0.1875,2,3,3.2,7,8.822857142857144,99.42857142857143,9.59,0.0,0.767142857142856,-99.42857142857143,0
Estudiante 179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,1,0.0,1.0,1,1.0,0,2,2,1,1,0,1,1,1,1,1,1.0,1.0,0,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
Estudiante 18,9.375625,9.379999999999999,7.95,10.0,0.5870601190111057,86.8125,100.0,0,100,33.99846810274447,16,16,0,1.0,0.0,1,1.0,0,2,1,4,16,1,2,0,2,0,2,0.0,0.125,2,2,4.0,7,9.25,98.42857142857143,10.0,0.0,0.75,-98.42857142857143,0
Estudiante 180,6.56,6.56,6.56,6.56,0.0,100.0,100.0,100,100,0.0,1,0,1,0.0,1.0,1,1.0,0,2,2,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,6.56,100.0,6.56,100.0,0.0,0.0,1
Estudiante 181,8.48,8.48,8.48,8.48,0.0,94.0,94.0,94,94,0.0,1,1,0,1.0,0.0,1,1.0,0,2,2,1,1,0,1,0,0,0,0,0.0,0.0,0,0,1.0,1,8.48,94.0,8.48,94.0,0.0,0.0,1
Estudiante 182,8.495000000000001,8.655000000000001,5.63,9.91,0.8619663566520448,90.8076923076923,100.0,0,100,20.56797361096952,26,25,1,0.9615384615384616,0.038461538461538464,2,1.0384615384615385,1,4,1,5,25,3,4,0,1,0,1,0.0,0.038461538461538464,1,1,5.2,7,8.142857142857142,99.42857142857143,9.158333333333333,97.0,1.0154761904761909,-2.4285714285714306,0
Estudiante 183,8.306666666666667,8.36,5.48,9.83,0.9600120191555297,91.11111111111111,100.0,0,100,26.398329395471123,27,26,1,0.9629629629629629,0.037037037037037035,2,1.037037037037037,1,4,1,6,26,3,4,0,2,0,2,0.0,0.07407407407407407,2,2,4.5,7,8.142857142857142,99.57142857142857,9.73,0.0,1.587142857142858,-99.57142857142857,0
Estudiante 184,6.045000000000001,7.27,0.0,9.83,3.497601559164032,76.36363636363636,96.0,0,100,39.58179650696283,22,15,7,0.6818181818181818,0.3181818181818182,2,1.0454545454545454,1,4,1,4,21,3,4,5,4,5,5,0.22727272727272727,0.18181818181818182,0,0,5.5,7,7.894285714285714,98.0,0.0,6.2,-7.894285714285714,-91.8,0
Estudiante 185,8.4725,8.45,6.08,10.0,0.8762446174611456,91.42857142857143,100.0,0,100,25.97210550860797,28,27,1,0.9642857142857143,0.03571428571428571,2,1.0357142857142858,1,4,1,6,27,3,4,0,2,0,2,0.0,0.07142857142857142,2,2,4.666666666666667,7,8.36,98.42857142857143,7.71,0.0,-0.6499999999999995,-98.42857142857143,0
